Tarih,Yeni_Kullanici_Sayisi
2023-09-08,547
2023-09-09,1132
2023-09-10,1372
2023-09-11,1003
2023-09-12,492
2023-09-13,698
2023-09-14,1048
2023-09-15,653
2023-09-16,1033
2023-09-17,1099
2023-09-18,608
2023-09-19,782
2023-09-20,146
2023-09-21,589
2023-09-22,744
2023-09-23,696
2023-09-24,1272
2023-09-25,510
2023-09-26,709
2023-09-27,824
2023-09-28,1088
2023-09-29,513
2023-09-30,1185
2023-10-01,955
2023-10-02,609
2023-10-03,899
2023-10-04,848
2023-10-05,690
2023-10-06,826
2023-10-07,888
2023-10-08,990
2023-10-09,952
2023-10-10,1139
2023-10-11,577
2023-10-12,1254
2023-10-13,440
2023-10-14,953
2023-10-15,1104
2023-10-16,895
2023-10-17,718
2023-10-18,804
2023-10-19,751
2023-10-20,735
2023-10-21,1177
2023-10-22,1082
2023-10-23,726
2023-10-24,1049
2023-10-25,935
2023-10-26,1040
2023-10-27,1008
2023-10-28,871
2023-10-29,929
2023-10-30,1045
2023-10-31,1023
2023-11-01,902
2023-11-02,934
2023-11-03,1171
2023-11-04,953
2023-11-05,1186
2023-11-06,892
2023-11-07,894
2023-11-08,1163
2023-11-09,1114
2023-11-10,1118
2023-11-11,1372
2023-11-12,1121
2023-11-13,1109
2023-11-14,917
2023-11-15,1050
2023-11-16,966
2023-11-17,1018
2023-11-18,1274
2023-11-19,998
2023-11-20,1436
2023-11-21,823
2023-11-22,789
2023-11-23,1270
2023-11-24,1204
2023-11-25,1327
2023-11-26,1335
2023-11-27,1064
2023-11-28,895
2023-11-29,1096
2023-11-30,953
2023-12-01,1291
2023-12-02,1224
2023-12-03,1096
2023-12-04,1055
2023-12-05,1209
2023-12-06,1021
2023-12-07,977
2023-12-08,1198
2023-12-09,1357
2023-12-10,1214
2023-12-11,1079
2023-12-12,1228
2023-12-13,900
2023-12-14,916
2023-12-15,1062
2023-12-16,1321
2023-12-17,1434
2023-12-18,1525
2023-12-19,1410
2023-12-20,1214
2023-12-21,1251
2023-12-22,1062
2023-12-23,1418
2023-12-24,1372
2023-12-25,1352
2023-12-26,1131
2023-12-27,1408
2023-12-28,1619
2023-12-29,1300
2023-12-30,1560
2023-12-31,1626
2024-01-01,1266
2024-01-02,1400
2024-01-03,1366
2024-01-04,1391
2024-01-05,1225
2024-01-06,1543
2024-01-07,1646
2024-01-08,1695
2024-01-09,1605
2024-01-10,1852
2024-01-11,1276
2024-01-12,1612
2024-01-13,1633
2024-01-14,2042
2024-01-15,1301
2024-01-16,1303
2024-01-17,1359
2024-01-18,1062
2024-01-19,1389
2024-01-20,1501
2024-01-21,1691
2024-01-22,1587
2024-01-23,1902
2024-01-24,1724
2024-01-25,1427
2024-01-26,1370
2024-01-27,1806
2024-01-28,1451
2024-01-29,1939
2024-01-30,1816
2024-01-31,1494
2024-02-01,1252
2024-02-02,1873
2024-02-03,1736
2024-02-04,2014
2024-02-05,1305
2024-02-06,1511
2024-02-07,1639
2024-02-08,1654
2024-02-09,1561
2024-02-10,1933
2024-02-11,1601
2024-02-12,1643
2024-02-13,1702
2024-02-14,1787
2024-02-15,1833
2024-02-16,1472
2024-02-17,1546
2024-02-18,2115
2024-02-19,1782
2024-02-20,1572
2024-02-21,2037
2024-02-22,1756
2024-02-23,1974
2024-02-24,1908
2024-02-25,2312
2024-02-26,2106
2024-02-27,1710
2024-02-28,1960
2024-02-29,1899
2024-03-01,2049
2024-03-02,1737
2024-03-03,2072
2024-03-04,2001
2024-03-05,1442
2024-03-06,1562
2024-03-07,1395
2024-03-08,1753
2024-03-09,2105
2024-03-10,2266
2024-03-11,1834
2024-03-12,2149
2024-03-13,1550
2024-03-14,1489
2024-03-15,1822
2024-03-16,2064
2024-03-17,1983
2024-03-18,1430
2024-03-19,1828
2024-03-20,1588
2024-03-21,1986
2024-03-22,1928
2024-03-23,1819
2024-03-24,1906
2024-03-25,1650
2024-03-26,1851
2024-03-27,2057
2024-03-28,1670
2024-03-29,1970
2024-03-30,1915
2024-03-31,1864
2024-04-01,1853
2024-04-02,1668
2024-04-03,1766
2024-04-04,1638
2024-04-05,2272
2024-04-06,2037
2024-04-07,1890
2024-04-08,1924
2024-04-09,1859
2024-04-10,1838
2024-04-11,2005
2024-04-12,2034
2024-04-13,1926
2024-04-14,1917
2024-04-15,1827
2024-04-16,1421
2024-04-17,1578
2024-04-18,2154
2024-04-19,2209
2024-04-20,1980
2024-04-21,2144
2024-04-22,1940
2024-04-23,2492
2024-04-24,2099
2024-04-25,1848
2024-04-26,1681
2024-04-27,1700
2024-04-28,2060
2024-04-29,1716
2024-04-30,1581
2024-05-01,1734
2024-05-02,1645
2024-05-03,2197
2024-05-04,2184
2024-05-05,2003
2024-05-06,2149
2024-05-07,1865
2024-05-08,1675
2024-05-09,2149
2024-05-10,1950
2024-05-11,1781
2024-05-12,1948
2024-05-13,1658
2024-05-14,1553
2024-05-15,2012
2024-05-16,2205
2024-05-17,1540
2024-05-18,2079
2024-05-19,1832
2024-05-20,1711
2024-05-21,1686
2024-05-22,1628
2024-05-23,1807
2024-05-24,1627
2024-05-25,1993
2024-05-26,1925
2024-05-27,1733
2024-05-28,1595
2024-05-29,1657
2024-05-30,1919
2024-05-31,1864
2024-06-01,1713
2024-06-02,1924
2024-06-03,1900
2024-06-04,1411
2024-06-05,1849
2024-06-06,1603
2024-06-07,1845
2024-06-08,1723
2024-06-09,1510
2024-06-10,1390
2024-06-11,1721
2024-06-12,1758
2024-06-13,1520
2024-06-14,1823
2024-06-15,1508
2024-06-16,1822
2024-06-17,1438
2024-06-18,1545
2024-06-19,1679
2024-06-20,1492
2024-06-21,1582
2024-06-22,2005
2024-06-23,1683
2024-06-24,1810
2024-06-25,1412
2024-06-26,1738
2024-06-27,1915
2024-06-28,1127
2024-06-29,1607
2024-06-30,1876
2024-07-01,1565
2024-07-02,1674
2024-07-03,1474
2024-07-04,1606
2024-07-05,1553
2024-07-06,1962
2024-07-07,1774
2024-07-08,1635
2024-07-09,1480
2024-07-10,1459
2024-07-11,1465
2024-07-12,1625
2024-07-13,1607
2024-07-14,1744
2024-07-15,1946
2024-07-16,1700
2024-07-17,1455
2024-07-18,1755
2024-07-19,1429
2024-07-20,1247
2024-07-21,1448
2024-07-22,1121
2024-07-23,1420
2024-07-24,1489
2024-07-25,1816
2024-07-26,1541
2024-07-27,1577
2024-07-28,1782
2024-07-29,1019
2024-07-30,1504
2024-07-31,1607
2024-08-01,1152
2024-08-02,1673
2024-08-03,1657
2024-08-04,1502
2024-08-05,1558
2024-08-06,1881
2024-08-07,1459
2024-08-08,1469
2024-08-09,1323
2024-08-10,1391
2024-08-11,1723
2024-08-12,1232
2024-08-13,1414
2024-08-14,1301
2024-08-15,1489
2024-08-16,1456
2024-08-17,1744
2024-08-18,1431
2024-08-19,1326
2024-08-20,1181
2024-08-21,1285
2024-08-22,1447
2024-08-23,1520
2024-08-24,1332
2024-08-25,1687
2024-08-26,1632
2024-08-27,1441
2024-08-28,1732
2024-08-29,1200
2024-08-30,1103
2024-08-31,1145
2024-09-01,1798
2024-09-02,1478
2024-09-03,1334
2024-09-04,1400
2024-09-05,1117
2024-09-06,1830
2024-09-07,1515
2024-09-08,1510
2024-09-09,1483
2024-09-10,1433
2024-09-11,1381
2024-09-12,1177
2024-09-13,1429
2024-09-14,1861
2024-09-15,1753
2024-09-16,1652
2024-09-17,1232
2024-09-18,1136
2024-09-19,1309
2024-09-20,1345
2024-09-21,1703
2024-09-22,1147
2024-09-23,1642
2024-09-24,1305
2024-09-25,1252
2024-09-26,1136
2024-09-27,1008
2024-09-28,1655
2024-09-29,1507
2024-09-30,1085
2024-10-01,1086
2024-10-02,1279
2024-10-03,1682
2024-10-04,1298
2024-10-05,1202
2024-10-06,1455
2024-10-07,1302
2024-10-08,820
2024-10-09,1351
2024-10-10,1318
2024-10-11,1506
2024-10-12,1890
2024-10-13,1748
2024-10-14,1322
2024-10-15,1158
2024-10-16,1897
2024-10-17,1398
2024-10-18,1392
2024-10-19,1538
2024-10-20,1587
2024-10-21,1372
2024-10-22,1290
2024-10-23,1300
2024-10-24,1407
2024-10-25,1309
2024-10-26,1429
2024-10-27,1598
2024-10-28,1380
2024-10-29,1737
2024-10-30,911
2024-10-31,1664
2024-11-01,1700
2024-11-02,1191
2024-11-03,1543
2024-11-04,1392
2024-11-05,1191
2024-11-06,1322
2024-11-07,1261
2024-11-08,1839
2024-11-09,1832
2024-11-10,1905
2024-11-11,1651
2024-11-12,1287
2024-11-13,1414
2024-11-14,1623
2024-11-15,1287
2024-11-16,1831
2024-11-17,1647
2024-11-18,1476
2024-11-19,1700
2024-11-20,1654
2024-11-21,1499
2024-11-22,1810
2024-11-23,1519
2024-11-24,1866
2024-11-25,1718
2024-11-26,1545
2024-11-27,1679
2024-11-28,1371
2024-11-29,1813
2024-11-30,1749
2024-12-01,1689
2024-12-02,1861
2024-12-03,1518
2024-12-04,1385
2024-12-05,1363
2024-12-06,1803
2024-12-07,1584
2024-12-08,2199
2024-12-09,1289
2024-12-10,2053
2024-12-11,1764
2024-12-12,1710
2024-12-13,1628
2024-12-14,1975
2024-12-15,1896
2024-12-16,1982
2024-12-17,1793
2024-12-18,1808
2024-12-19,1714
2024-12-20,1783
2024-12-21,2015
2024-12-22,1619
2024-12-23,1550
2024-12-24,1977
2024-12-25,1870
2024-12-26,1808
2024-12-27,1857
2024-12-28,2081
2024-12-29,1912
2024-12-30,1722
2024-12-31,1926
2025-01-01,1692
2025-01-02,1978
2025-01-03,1564
2025-01-04,2269
2025-01-05,2166
2025-01-06,1981
2025-01-07,2134
2025-01-08,2279
2025-01-09,2157
2025-01-10,1595
2025-01-11,1865
2025-01-12,2004
2025-01-13,1993
2025-01-14,2099
2025-01-15,1859
2025-01-16,2049
2025-01-17,1869
2025-01-18,2056
2025-01-19,1905
2025-01-20,1859
2025-01-21,1782
2025-01-22,1865
2025-01-23,2279
2025-01-24,1886
2025-01-25,2760
2025-01-26,2340
2025-01-27,2136
2025-01-28,1935
2025-01-29,2254
2025-01-30,2006
2025-01-31,2153
2025-02-01,2798
2025-02-02,2274
2025-02-03,2381
2025-02-04,2017
2025-02-05,2158
2025-02-06,2526
2025-02-07,2054
2025-02-08,2699
2025-02-09,2484
2025-02-10,2087
2025-02-11,2333
2025-02-12,2407
2025-02-13,2344
2025-02-14,1912
2025-02-15,2237
2025-02-16,2339
2025-02-17,2230
2025-02-18,2375
2025-02-19,2292
2025-02-20,1996
2025-02-21,2345
2025-02-22,2546
2025-02-23,2542
2025-02-24,2502
2025-02-25,2458
2025-02-26,2388
2025-02-27,2288
2025-02-28,1975
2025-03-01,2548
2025-03-02,2508
2025-03-03,2376
2025-03-04,2071
2025-03-05,2115
2025-03-06,2546
2025-03-07,2332
2025-03-08,2631
2025-03-09,2504
2025-03-10,2359
2025-03-11,2544
2025-03-12,2257
2025-03-13,2383
2025-03-14,2275
2025-03-15,2435
2025-03-16,2463
2025-03-17,2423
2025-03-18,2286
2025-03-19,2636
2025-03-20,2209
2025-03-21,2353
2025-03-22,2455
2025-03-23,2835
2025-03-24,2438
2025-03-25,2607
2025-03-26,2106
2025-03-27,2459
2025-03-28,2585
2025-03-29,2576
2025-03-30,2774
2025-03-31,2309
2025-04-01,2696
2025-04-02,2875
2025-04-03,2344
2025-04-04,2329
2025-04-05,2860
2025-04-06,2886
2025-04-07,2316
2025-04-08,2338
2025-04-09,2366
2025-04-10,2154
2025-04-11,2240
2025-04-12,2373
2025-04-13,2420
2025-04-14,2417
2025-04-15,2471
2025-04-16,2734
2025-04-17,2224
2025-04-18,2620
2025-04-19,2529
2025-04-20,2562
2025-04-21,2556
2025-04-22,2195
2025-04-23,2495
2025-04-24,2451
2025-04-25,2515
2025-04-26,2623
2025-04-27,3055
2025-04-28,2285
2025-04-29,2305
2025-04-30,2284
2025-05-01,2296
2025-05-02,2278
2025-05-03,2791
2025-05-04,2835
2025-05-05,2285
2025-05-06,2230
2025-05-07,2488
2025-05-08,2281
2025-05-09,2515
2025-05-10,2577
2025-05-11,2230
2025-05-12,2690
2025-05-13,2737
2025-05-14,2252
2025-05-15,2294
2025-05-16,2425
2025-05-17,2581
2025-05-18,2643
2025-05-19,2759
2025-05-20,2318
2025-05-21,2191
2025-05-22,2071
2025-05-23,2196
2025-05-24,2482
2025-05-25,2844
2025-05-26,2227
2025-05-27,2371
2025-05-28,2319
2025-05-29,2556
2025-05-30,2819
2025-05-31,2353
2025-06-01,2357
2025-06-02,2509
2025-06-03,2432
2025-06-04,2661
2025-06-05,2403
2025-06-06,2210
2025-06-07,2545
2025-06-08,2644
2025-06-09,2431
2025-06-10,2364
2025-06-11,2471
2025-06-12,2486
2025-06-13,2524
2025-06-14,2522
2025-06-15,2354
2025-06-16,2261
2025-06-17,2468
2025-06-18,2058
2025-06-19,2290
2025-06-20,2132
2025-06-21,2362
2025-06-22,2606
2025-06-23,2233
2025-06-24,2199
2025-06-25,1913
2025-06-26,2328
2025-06-27,2303
2025-06-28,2751
2025-06-29,2251
2025-06-30,2201
2025-07-01,2202
2025-07-02,2462
2025-07-03,2122
2025-07-04,2192
2025-07-05,2402
2025-07-06,2313
2025-07-07,2031
2025-07-08,2153
2025-07-09,2324
2025-07-10,1898
2025-07-11,2125
2025-07-12,2103
2025-07-13,2477
2025-07-14,1778
2025-07-15,1966
2025-07-16,2148
2025-07-17,2380
2025-07-18,2049
2025-07-19,2096
2025-07-20,2578
2025-07-21,1757
2025-07-22,1602
2025-07-23,2125
2025-07-24,1931
2025-07-25,1823
2025-07-26,2314
2025-07-27,2216
2025-07-28,1900
2025-07-29,1752
2025-07-30,2178
2025-07-31,2129
2025-08-01,1974
2025-08-02,2509
2025-08-03,1921
2025-08-04,1676
2025-08-05,1838
2025-08-06,1963
2025-08-07,2017
2025-08-08,1916
2025-08-09,2181
2025-08-10,1856
2025-08-11,2241
2025-08-12,1932
2025-08-13,2169
2025-08-14,2010
2025-08-15,2029
2025-08-16,2199
2025-08-17,2171
2025-08-18,2056
2025-08-19,2191
2025-08-20,1961
2025-08-21,2060
2025-08-22,1898
2025-08-23,2351
2025-08-24,1925
2025-08-25,2268
2025-08-26,1897
2025-08-27,1616
2025-08-28,1926
2025-08-29,1762
2025-08-30,2214
2025-08-31,1913
2025-09-01,1803
2025-09-02,1512
2025-09-03,1798
2025-09-04,1402
2025-09-05,1568
2025-09-06,2186
2025-09-07,2189
2025-09-08,1966
2025-09-09,1687
2025-09-10,1870
2025-09-11,1877
2025-09-12,1646
2025-09-13,2327
2025-09-14,2202
2025-09-15,1832
2025-09-16,1881
2025-09-17,1917
2025-09-18,1467
2025-09-19,1826
2025-09-20,1889
2025-09-21,1825
2025-09-22,1820
2025-09-23,2236
2025-09-24,2005
2025-09-25,1764
2025-09-26,1993
2025-09-27,2310
2025-09-28,2216
2025-09-29,1894
2025-09-30,1754
2025-10-01,2025
2025-10-02,1965
2025-10-03,2067
2025-10-04,2167
2025-10-05,2252
2025-10-06,1787
2025-10-07,2160
2025-10-08,1938
2025-10-09,2316
2025-10-10,1765
2025-10-11,2403
2025-10-12,2098
2025-10-13,1781
2025-10-14,1818
2025-10-15,1853
2025-10-16,2006
2025-10-17,2029
2025-10-18,1963
2025-10-19,2076
2025-10-20,2363
2025-10-21,2284
2025-10-22,2030
2025-10-23,1954
2025-10-24,1975
2025-10-25,2227
2025-10-26,1904
2025-10-27,1912
2025-10-28,1634
2025-10-29,2053
2025-10-30,2107
2025-10-31,1886
2025-11-01,2452
2025-11-02,1897
2025-11-03,1705
2025-11-04,2048
2025-11-05,2217
2025-11-06,2350
2025-11-07,1927
2025-11-08,2390
2025-11-09,2173
2025-11-10,2002
2025-11-11,2219
2025-11-12,2179
2025-11-13,1739
2025-11-14,2356
2025-11-15,2493
2025-11-16,2098
2025-11-17,2159
2025-11-18,2185
2025-11-19,2145
2025-11-20,1989
2025-11-21,1972
2025-11-22,2258
2025-11-23,2504
2025-11-24,2236
2025-11-25,2060
2025-11-26,2295
2025-11-27,1579
2025-11-28,2385
2025-11-29,1965
2025-11-30,2248
2025-12-01,1954
2025-12-02,1926
2025-12-03,2425
2025-12-04,2107
2025-12-05,2277
2025-12-06,2356
2025-12-07,2469
2025-12-08,2247
2025-12-09,1982
2025-12-10,2446
2025-12-11,2156
2025-12-12,1952
2025-12-13,2335
2025-12-14,2729
2025-12-15,2457
2025-12-16,2225
2025-12-17,2233
2025-12-18,2247
2025-12-19,2735
2025-12-20,2554
2025-12-21,2572
2025-12-22,2551
2025-12-23,2401
2025-12-24,2309
2025-12-25,2330
2025-12-26,2363
2025-12-27,2529
2025-12-28,2690
2025-12-29,2413
2025-12-30,2558
2025-12-31,2403
2026-01-01,2444
2026-01-02,2037
2026-01-03,2778
2026-01-04,2672
2026-01-05,2661
2026-01-06,1890
2026-01-07,2896
2026-01-08,2458
2026-01-09,2716
2026-01-10,2445
2026-01-11,2784
2026-01-12,2309
2026-01-13,2403
2026-01-14,2918
2026-01-15,2506
2026-01-16,2595
2026-01-17,2884
2026-01-18,2817
2026-01-19,2606
2026-01-20,2657
2026-01-21,3073
2026-01-22,2588
2026-01-23,2648
2026-01-24,2976
2026-01-25,2994
2026-01-26,2868
2026-01-27,2766
2026-01-28,2418
2026-01-29,2981
2026-01-30,2432
2026-01-31,2879
2026-02-01,2675
2026-02-02,2671
2026-02-03,2757
2026-02-04,2762
2026-02-05,2789
2026-02-06,3035
2026-02-07,2960
2026-02-08,2827
2026-02-09,2926
2026-02-10,2978
2026-02-11,2501
2026-02-12,2872
2026-02-13,2900
2026-02-14,2856
2026-02-15,3197
2026-02-16,2748
2026-02-17,2810
2026-02-18,2756
2026-02-19,2800
2026-02-20,2583
2026-02-21,2671
2026-02-22,3283
2026-02-23,2651
2026-02-24,2627
2026-02-25,2400
2026-02-26,2709
2026-02-27,2577
2026-02-28,3325
2026-03-01,3204
2026-03-02,2719
2026-03-03,3312
2026-03-04,3063
2026-03-05,2806
2026-03-06,2376
2026-03-07,3488
2026-03-08,2756
2026-03-09,2559
2026-03-10,3097
2026-03-11,3385
2026-03-12,3177
2026-03-13,3017
2026-03-14,3177
2026-03-15,3232
2026-03-16,3067
2026-03-17,2974
2026-03-18,2942
2026-03-19,2912
2026-03-20,2777
2026-03-21,3024
2026-03-22,2745
2026-03-23,2916
2026-03-24,2741
2026-03-25,2720
2026-03-26,2979
2026-03-27,3224
2026-03-28,3281
2026-03-29,2785
2026-03-30,2753
2026-03-31,3141
2026-04-01,2758
2026-04-02,2911
2026-04-03,3067
2026-04-04,2914
2026-04-05,3130
2026-04-06,2693
2026-04-07,2841
2026-04-08,3026
2026-04-09,2644
2026-04-10,3051
2026-04-11,3109
2026-04-12,3224
2026-04-13,3009
2026-04-14,3237
2026-04-15,2989
2026-04-16,2878
2026-04-17,2988
2026-04-18,3221
2026-04-19,3122
2026-04-20,2970
2026-04-21,2820
2026-04-22,2827
2026-04-23,2678
2026-04-24,3308
2026-04-25,2858
2026-04-26,2967
2026-04-27,2810
2026-04-28,3131
2026-04-29,2892
2026-04-30,3199
2026-05-01,2812
2026-05-02,3151
2026-05-03,2926
2026-05-04,3370
2026-05-05,2701
2026-05-06,2998
2026-05-07,3061
2026-05-08,3014
2026-05-09,3042
2026-05-10,3050
2026-05-11,2932
2026-05-12,2891
2026-05-13,3110
2026-05-14,3356
2026-05-15,2800
2026-05-16,2784
2026-05-17,3037
2026-05-18,3417
2026-05-19,2737
2026-05-20,3222
2026-05-21,3226
2026-05-22,2776
2026-05-23,3146
2026-05-24,3354
2026-05-25,2799
2026-05-26,2830
2026-05-27,2750
2026-05-28,2659
2026-05-29,2728
2026-05-30,2759
2026-05-31,3006
2026-06-01,2691
2026-06-02,2887
2026-06-03,2525
2026-06-04,2897
2026-06-05,2993
2026-06-06,2573
2026-06-07,3042
2026-06-08,3058
2026-06-09,2565
2026-06-10,3137
2026-06-11,2881
2026-06-12,2651
2026-06-13,2926
2026-06-14,3044
2026-06-15,2792
2026-06-16,2880
2026-06-17,2583
2026-06-18,2796
2026-06-19,2474
2026-06-20,2879
2026-06-21,2715
2026-06-22,2593
2026-06-23,2982
2026-06-24,2948
2026-06-25,2846
2026-06-26,2501
2026-06-27,2801
2026-06-28,3101
2026-06-29,2731
2026-06-30,3161
2026-07-01,2771
2026-07-02,2725
2026-07-03,2620
2026-07-04,2853
2026-07-05,2790
2026-07-06,2807
2026-07-07,2851
2026-07-08,2497
2026-07-09,2383
2026-07-10,2277
2026-07-11,2890
2026-07-12,2562
2026-07-13,2197
2026-07-14,2700
2026-07-15,3116
2026-07-16,2611
2026-07-17,2775
2026-07-18,2768
2026-07-19,2727
2026-07-20,2775
2026-07-21,2529
2026-07-22,2635
2026-07-23,2641
2026-07-24,2438
2026-07-25,2915
2026-07-26,2677
2026-07-27,2406
2026-07-28,2660
2026-07-29,2368
2026-07-30,2549
2026-07-31,2537
2026-08-01,2901
2026-08-02,2775
2026-08-03,2520
2026-08-04,2685
2026-08-05,2795
2026-08-06,2624
2026-08-07,2510
2026-08-08,2392
2026-08-09,2437
2026-08-10,2435
2026-08-11,2371
2026-08-12,2451
2026-08-13,2496
2026-08-14,2587
2026-08-15,2614
2026-08-16,2722
2026-08-17,2484
2026-08-18,2073
2026-08-19,2277
2026-08-20,2433
2026-08-21,2217
2026-08-22,2726
2026-08-23,2909
2026-08-24,2694
2026-08-25,2405
2026-08-26,2743
2026-08-27,2472
2026-08-28,2373
2026-08-29,2465
2026-08-30,2525
2026-08-31,2356
2026-09-01,2466
2026-09-02,2462
2026-09-03,2429
2026-09-04,2514
2026-09-05,2813
2026-09-06,2764
2026-09-07,2125
2026-09-08,1910
2026-09-09,2607
2026-09-10,2146
2026-09-11,2373
2026-09-12,2333
2026-09-13,2206
2026-09-14,2525
2026-09-15,2568
2026-09-16,2300
2026-09-17,1897
2026-09-18,2306
2026-09-19,2644
2026-09-20,2270
2026-09-21,2452
2026-09-22,2413
2026-09-23,2532
2026-09-24,2441
2026-09-25,2223
2026-09-26,2808
2026-09-27,2538
2026-09-28,2415
2026-09-29,2235
2026-09-30,2335
2026-10-01,2248
2026-10-02,2392
2026-10-03,2920
2026-10-04,2306
2026-10-05,2109
2026-10-06,2728
2026-10-07,2394
2026-10-08,2305
2026-10-09,2649
2026-10-10,2472
2026-10-11,2961
2026-10-12,2584
2026-10-13,2354
2026-10-14,2886
2026-10-15,2336
2026-10-16,2609
2026-10-17,2674
2026-10-18,2878
2026-10-19,2783
2026-10-20,2481
2026-10-21,2328
2026-10-22,2574
2026-10-23,2351
2026-10-24,3043
2026-10-25,2672
2026-10-26,2426
2026-10-27,2540
2026-10-28,2239
2026-10-29,2318
2026-10-30,2758
2026-10-31,2541
2026-11-01,2468
2026-11-02,2640
2026-11-03,2775
2026-11-04,2686
2026-11-05,2747
2026-11-06,2402
2026-11-07,2425
